draw,cost_basic_segmentation,cost_least_privilege_segmentation,cost_patch_level_upgrade,cost_detection_improvement,cost_rapid_isolation,cost_periodic_backups,cost_protected_backups,cost_identity_controls,burden_basic_segmentation,burden_least_privilege_segmentation,burden_patch_level_upgrade,burden_detection_improvement,burden_rapid_isolation,burden_periodic_backups,burden_protected_backups,burden_identity_controls
10,1.65126962,6.698538722,2.578292345,2.690924856,7.492504107,0.8404165127,1.498770799,3.773731676,2.701679079,4.511053243,4.426099319,2.834204959,2.074981973,0.9159601993,2.016141019,2.730662683
11,3.932236887,5.645698705,1.480678206,3.851286643,5.872447124,0.8048899577,2.089863991,5.794291463,1.313234949,4.930796739,3.350919963,1.082778839,1.652940206,0.8695444047,2.17255991,1.978678412
12,3.945021121,6.691909952,2.07547218,4.163527649,7.494188782,0.8228771458,2.038086405,4.75186077,2.091412917,3.139676782,3.211968204,2.473275851,3.708645101,0.588030055,1.940677109,4.488075137
13,4.004214009,4.00445095,1.713362581,2.778379701,3.025600746,0.7903661671,1.644374149,4.175714342,2.675192859,2.981062146,1.709344998,1.150129097,3.514732096,1.250643078,2.818134738,1.823574274
14,3.116606567,4.236455015,1.443019465,2.02746855,5.166238366,1.422891556,2.68235966,5.963091835,1.188850152,5.920394729,2.919011443,1.874886102,3.289281657,0.6829214138,2.433304059,4.277864017
15,2.223182924,6.534038815,2.496015811,3.018425467,3.388279259,1.43944464,2.78435067,5.746067662,2.919341215,5.210686829,3.852725231,2.298679401,4.07632838,1.358933475,2.769921339,1.552223746
16,2.125779636,2.773736843,1.620687063,2.999409608,3.014501306,1.150522886,2.055714269,5.370898463,1.224634387,4.29175533,4.048957668,2.642958172,2.459249391,0.7695777658,2.910121087,2.565724012
17,2.359128682,6.843957878,2.290942296,2.528810884,3.413545108,1.249588224,1.39564865,5.07213822,1.87867758,2.692924993,3.377929607,2.18371571,3.659714187,1.142198696,2.578882117,3.999536883
18,1.76025906,5.496593759,2.048398704,3.360157144,6.262319182,0.7425582548,1.666347094,4.165333352,1.225804915,2.330119113,2.407801662,2.20188057,2.255005129,1.243224612,1.740543402,2.061596907
19,4.489044881,5.19713425,2.406948087,3.141448067,6.963206049,0.9450877745,2.928267441,4.151451977,2.644536027,3.657455073,4.405369799,2.75587703,4.207329145,0.6273900576,1.22509075,2.119167032
20,2.877171516,4.141814137,1.111729654,3.780406951,3.117089038,0.7846535958,2.175605991,4.131696023,1.833909085,3.844029607,3.643607765,1.430838775,2.505277514,0.9355388078,1.794291676,1.960388325
21,4.11153854,6.578961245,1.548826618,3.824213508,7.001069616,0.7241250621,2.091601536,2.709535827,2.430416896,2.672919041,3.597235551,1.170301597,2.347825213,1.130010392,1.469646409,3.811120312
22,4.431610828,5.07251316,1.998184281,3.245331977,6.068100891,1.463294141,2.750030668,4.488125165,2.12636615,3.210575498,3.29802764,1.054145607,4.002107261,1.03472269,2.176356784,3.637360976
23,3.030426364,7.102459711,1.185541123,1.899105789,5.229765399,0.8387002125,2.739556969,2.4670571,2.284980387,3.250347935,3.602519045,2.082011774,3.315811883,0.8568016062,1.104016594,1.857276827
24,2.937487429,6.946774971,1.906061589,2.360515969,4.128675278,0.7559933882,2.039912457,3.336807947,2.512992941,3.376831679,1.821546945,1.367906518,1.769478923,0.9518700942,1.096950046,1.57349506
25,4.370984688,5.531680896,1.494375683,4.025650296,5.856009713,0.8924874195,2.670883519,5.093204066,2.057654177,5.049739807,3.063960341,1.651286357,2.641572973,1.337705869,1.656403562,4.451325217
26,2.446471904,6.00429656,2.681796057,2.763174651,4.333538606,0.7873089546,2.171599115,2.77201824,2.172725862,2.405894688,4.206644788,1.644063821,1.581253572,1.44743477,2.393189113,4.087009073
27,2.140502642,6.159038293,1.816667151,2.991992619,6.836372123,1.306207612,1.481801965,3.535929633,1.25259727,5.828551008,3.67130847,1.516254464,1.509111543,1.362083048,2.74525551,1.690818194
28,3.365851757,4.876716035,1.389067539,2.015400026,6.654890206,1.132774864,1.394205562,3.401312907,1.252807562,2.989610778,1.857418608,1.034682877,2.786462166,1.10302738,1.492490526,4.472589515
29,1.890400414,4.495054229,1.866713805,3.872859224,7.452861684,1.181010754,2.116218273,2.041674422,2.459834178,5.291615604,1.50433665,2.034804212,4.297889744,1.481730779,1.686791804,1.923172924
30,2.229904484,6.46285228,1.144820771,3.072617675,3.428201735,1.181508384,2.92975161,4.832048876,2.037782942,3.716585607,2.684494473,1.200054765,4.428918139,1.393629741,1.949580721,3.166015506
31,3.8046398,4.888377842,2.176637062,4.148600928,3.112227464,0.979889918,2.051243804,5.263179193,1.142887135,3.873718377,2.476974624,1.684844092,1.92620493,0.5850122602,2.533205302,2.043638172
32,4.022915965,4.535102485,2.639362208,4.012543332,6.750498979,0.6606534997,2.39914998,5.030741291,1.42645602,2.504885402,3.831263823,1.037733827,1.510628239,0.5460289931,1.952496782,2.780021806
33,3.124628249,4.897794964,1.737353266,3.243054062,4.430531173,1.192942763,1.495949222,2.61813421,1.534936196,4.896026563,3.920313425,2.093903954,2.485363042,1.359098121,2.304955375,2.938599496
34,3.204888929,5.985611455,2.569758347,2.544164642,7.331523373,0.7202031722,2.342914579,3.950812718,2.152326546,2.710488572,4.211325788,2.384431998,2.409382364,0.5095055036,1.16751947,3.008771998
35,3.900870138,7.001278608,2.495378659,3.418806955,3.067513424,1.012681911,2.142750852,3.065862206,1.12559042,3.675655352,4.4444954,2.726481852,2.787062008,1.143252208,1.215080114,4.452507464
36,1.515477236,4.221565536,2.610531412,1.891287315,6.639858973,0.7902552569,1.094856945,3.209740042,2.961426563,5.515296833,1.565283208,2.810200437,3.270017223,1.157950835,2.271130731,2.011447647
37,2.448811517,4.802128828,1.351411237,1.518338779,7.156849433,0.9329638027,2.113917925,5.099532491,1.562389204,2.902007654,3.906745236,1.239735549,1.828429059,1.233658165,1.9270288,2.200877324
38,3.849265417,3.95235989,2.314993893,3.66110986,2.554349604,0.9662615047,1.482594823,5.846485762,2.057426738,2.211784025,2.51703593,2.042819459,3.966908612,1.035418422,1.043108017,1.632081738
39,2.090463741,2.820309553,2.447535717,3.887096799,4.462390273,0.7812882276,2.296720521,3.782626219,1.302135148,5.608734151,2.340949124,1.347488771,1.972797835,0.7678494867,1.132783016,3.243519504
40,2.796835666,6.899596416,1.651564489,4.260445077,7.112719524,1.406948177,2.388418708,5.416339518,2.194630714,5.086646826,2.273386849,1.585443031,3.467540072,0.6227812262,1.459248688,1.74356103
41,3.206984448,4.405904822,1.274495284,4.184845733,3.110382346,0.7021368015,2.538482887,3.180737845,2.29747064,3.558373906,4.103003123,1.200782361,2.748941489,0.9062910589,2.926166991,3.638202561
42,4.270082998,4.772865614,2.768025452,2.601130506,7.131735884,0.9732889217,1.472667504,3.283283078,2.720468466,5.460249248,1.87551653,1.313825872,3.359764464,1.01060988,1.883957914,4.368651412
43,1.605212289,5.879131691,1.720622992,1.889169598,5.920313408,1.270865824,1.703973659,4.363904837,1.888181019,3.117060439,2.5344934,1.872810695,3.680738414,1.115973926,1.395276542,1.765738512
44,1.745387638,4.358885072,1.878085453,2.668070672,5.196048401,0.9766514028,1.748981843,2.315262605,1.978114044,3.49401209,3.561493517,1.235159411,1.993143347,1.435032934,1.993011386,4.374883846
45,2.607740809,5.209372304,1.264084112,2.966351168,3.039012108,1.018493297,1.861567725,2.778953718,1.380751106,2.42565949,2.584250496,2.954924337,1.615747009,0.6968157612,1.114669757,3.927604561
46,1.852418656,3.269492539,1.905943136,4.236545451,3.180139028,0.9768916871,2.60602609,4.631265923,1.175348352,5.743300181,3.066016395,1.755149698,2.395826808,1.038872406,1.551882359,2.938742454
47,2.185139795,4.406207512,2.97575663,3.504215899,4.771456879,1.135997086,2.978226571,2.428854607,1.95264445,2.506387393,3.478469401,1.157638412,4.137600116,1.429697068,2.659647304,2.708580082
48,2.79460872,5.821971359,1.882106503,1.801032515,3.496613645,1.322341978,2.703492332,5.331859478,2.428908051,4.389576564,1.74792445,2.263205228,1.580717723,0.8962396539,1.171794452,1.822921724
49,2.415525957,6.662188521,2.061786614,3.498430275,2.530179103,1.287914856,1.815311601,3.981863301,2.689508324,4.178161842,2.413387727,2.708302826,2.093821226,1.030122201,1.636980102,2.857412095
50,3.606104839,5.134875409,1.821672253,2.042714973,4.852859928,1.06422169,1.88544061,4.285706977,2.179926809,2.437946002,2.926902274,2.359344703,1.945804766,1.370162874,2.209940305,2.13467508
51,3.978476061,4.633795991,1.002685343,3.073824268,3.298095411,1.030537675,1.947719317,3.465087874,1.699102784,5.368892537,4.42490668,1.429490767,2.93874102,1.01552214,2.273487238,2.622564948
52,3.152274188,5.397609791,1.756841643,4.016541886,5.31629257,0.9367102669,2.344394263,4.579652416,1.533422032,5.020568701,2.982094645,2.851080307,4.041025742,1.024893058,1.249019753,1.724687409
53,1.573415236,3.070644982,2.05409766,3.047203757,3.244866852,1.383338312,2.053452307,3.471740207,2.885783444,4.598268559,2.452515298,1.918005025,2.351611569,0.7545689147,2.090583023,3.942764963
54,1.685376397,3.240639582,2.184995652,2.894317371,5.740157136,1.104854796,2.05866349,5.012289178,1.763328896,2.492696121,3.028552514,1.261089774,2.659019219,0.8972762434,2.550423739,3.130429112
55,1.793051484,3.177144967,2.566635442,4.265266226,7.130023463,0.8913060682,2.636018105,3.066355922,1.442436061,5.012189985,2.187790294,2.127862072,4.014712238,0.6571581726,1.891492223,4.231606145
56,2.744638719,3.337187831,1.742674594,2.177039347,3.293148747,0.8681584463,1.980608148,2.841202045,1.931161532,2.680767215,2.674853059,1.078773452,4.173928132,0.7496596292,1.121246186,2.307108706
57,1.552499485,7.384071135,2.001092925,2.31118935,2.553692973,1.335942527,1.388398503,5.505290774,2.030230153,4.795107037,1.723938726,1.364136263,2.99585206,0.5012702724,1.343598002,4.293076653
58,4.253887067,6.60713997,2.232584146,2.284297732,3.086706147,0.5452588871,1.243831735,2.661845692,1.832468098,4.350327558,2.465553254,2.20972173,4.098680572,1.151292344,1.348857046,3.108048551
59,3.647229201,6.480751934,2.623493431,1.630225371,6.9539827,0.9319095875,1.509030279,4.537576527,2.004536111,3.802096336,2.981710697,1.434914108,2.754183141,0.827964559,2.141631561,3.621133322
60,4.405703252,7.231421375,1.113930566,2.372670146,3.038223342,1.481485139,1.904149481,3.021673339,2.939397791,4.866532747,3.673033197,2.519149515,4.078246775,0.5098955767,2.638397585,4.094597812
61,2.785849998,3.653704036,1.435043688,1.734412497,6.717861146,1.23901199,2.053239889,2.29433891,1.59232248,2.747023721,1.53378147,1.179164075,2.1216106,1.477049031,2.601920821,2.28876926
62,1.866965989,5.829250912,1.025335294,3.43406734,5.829707412,1.003316744,1.267582507,4.209246951,1.967092688,4.360848003,3.87277153,1.070662431,1.633975221,1.078871612,2.109829031,4.236127569
63,4.397638201,5.178671063,2.057830789,2.336554059,5.910375104,0.684158368,2.263874318,3.720345069,2.045881276,5.673104463,4.441032973,2.622893297,2.222011392,0.6583952539,1.583106,4.260371846
64,3.083392198,6.228478343,2.672488305,3.873214504,4.575420139,1.268961127,2.6400626,5.339922989,1.232380815,2.053770295,3.488732574,2.208931839,3.774598193,0.5482879128,1.179314168,3.059183911
65,3.36947766,6.762993079,2.513067744,3.671359487,5.079718818,0.9386761029,2.821671143,4.218279727,2.136067898,5.357200986,1.979277543,2.281443717,2.939418259,0.5806304641,2.653515935,2.108814025
66,3.460465967,7.27573198,1.231958567,2.515843455,3.192514694,0.6040181117,1.152201479,2.967442839,1.90253679,3.170676649,4.315432495,1.387774051,4.055463838,1.370327463,1.807926926,2.233420034
67,2.265863527,7.368056023,2.503259336,1.680087079,6.22475141,0.504863277,2.17354547,2.345806161,2.75594391,3.949601704,3.891935359,2.352196696,3.309624897,0.8656159089,1.117233555,4.320955689
68,2.932725122,5.834674224,2.889768477,1.623484653,5.584663589,0.8173634302,1.605375213,5.707506677,1.135878066,5.139498746,4.097383544,1.542489188,2.622745836,0.839924264,1.50930034,1.509099677
69,2.784990965,5.358493938,2.848622936,3.709791383,6.76260622,0.5880492443,2.340219936,2.298980467,1.475904617,3.644162885,3.169206005,1.853992854,3.922217758,0.8539255545,1.03776786,3.598159611
70,1.641412391,3.272259963,1.4093049,3.887923336,7.192867113,0.514962505,1.196739252,2.453204096,2.410368339,3.91863233,2.874746608,2.890307023,3.70820111,1.260382669,1.41685944,2.068340525
71,3.011547482,4.797888836,1.742089227,2.389231018,3.797317199,1.014722087,2.084706952,2.883596039,1.958104613,5.09370126,2.514758785,1.396211599,2.1092084,0.9962959398,1.783154548,2.306440561
72,1.722740987,7.081533752,1.175890292,4.333118002,6.393822089,0.6458276446,1.750075926,4.113040539,2.423848616,3.7744918,2.542763827,2.449319511,3.854904034,1.045778388,2.024513807,2.926065723
73,2.761204827,4.749739534,1.054801799,1.599861612,4.91081682,1.393639414,2.535272194,2.858050264,2.234631365,4.041378618,1.675339598,1.765860799,4.253145749,0.6609210912,1.202559802,3.487753012
74,3.340702874,7.451769959,1.184074372,1.951299831,4.754871319,0.8299127455,1.187625092,5.762944241,2.05794245,4.102084435,4.248583798,1.066258186,3.514463937,1.194355809,1.97827806,1.865621406
75,3.201480171,7.196102514,1.799725742,2.55585798,6.031004638,0.5320863316,1.053020501,2.130177361,2.94332172,4.651255993,2.82257891,2.123059449,3.822450187,1.166295129,2.786075217,2.732620065
76,1.935712238,6.969676529,1.135510409,1.573760289,3.420947912,1.195109129,2.634273551,4.799862132,1.693393363,4.942410668,4.254565629,1.706116355,1.604791778,1.213975028,2.597665234,4.467900603
77,2.439975192,6.080631558,2.48008364,4.276479498,6.163177645,0.5518244398,1.836261033,5.532093747,2.972100484,5.402189729,1.747277358,2.337045227,3.001656692,1.302317485,2.102611688,4.408414561
78,2.560077394,4.964679324,1.805750517,2.503397764,5.897533916,1.097040936,2.570000755,2.859538485,1.707021391,4.711862432,4.080543249,2.122031154,3.426404676,0.5067468444,2.850655469,1.943925344
79,2.197098079,3.971943739,1.286113564,1.752780683,6.671637782,1.33542499,2.264214262,3.087384212,2.55891665,4.918773895,4.435124874,1.556087653,4.175941621,1.400207596,2.269428238,3.620301041
80,2.62069086,4.421173197,1.597998464,1.996377069,2.644561428,1.23399378,2.778080301,2.605130878,2.603785464,2.911028951,2.6870411,1.60234326,1.63587653,0.5873644348,2.857775072,2.268682989
81,2.992371094,3.492909963,1.106412952,4.110602845,6.265162461,1.375068709,2.325524158,2.391175754,2.677593148,3.336976009,4.147682415,2.016094949,1.566878422,1.027490177,2.254362405,3.491418611
82,3.722751923,6.139483173,2.112447443,4.212723338,3.469590303,0.8786985109,2.804783086,2.787945565,1.394433885,5.047468157,3.539578293,2.414520239,4.305559586,1.009947052,2.551906765,1.549593636
83,2.610988729,2.955752413,2.872155983,4.340462143,5.689653906,0.8870729859,2.407504357,5.206167514,2.271405041,4.743502517,3.173914696,2.604970839,3.312667054,0.9650255486,2.085070621,3.407652345
84,2.033292106,6.921715983,2.227351952,2.180152947,4.451128982,0.6337632235,1.632682009,5.847427844,1.004350206,4.943054411,2.341315379,1.037669736,2.671841522,0.8834272234,2.431359458,4.076002519
85,2.38349473,3.319374952,1.478500069,1.976386355,3.592704854,1.440299196,2.300179588,3.104036732,2.421792327,5.986517256,3.201146961,1.989163463,3.255721833,1.048140953,1.675400218,1.811724449
86,2.578606522,5.851561424,1.663976472,4.226976032,4.431256691,0.7520935926,2.724984357,2.654938664,2.614135843,5.193411277,4.040166494,2.204069012,3.849790062,0.7910896796,1.01568461,2.588392044
87,4.22019528,4.545638013,2.965481046,4.386850433,6.781260782,0.6697962816,1.481974998,4.147014119,1.542750361,5.177091115,3.634064265,1.004005006,3.682979639,1.389224099,2.428024129,3.415294896
88,2.392417468,3.199945932,2.414684505,2.382831852,3.548730548,0.559744149,1.48526641,2.199485753,2.052738091,5.140364411,3.556560194,1.775180801,4.164180628,0.5205960873,1.656729461,2.833388127
89,2.915669024,4.082421417,1.314566975,4.418109542,4.734451729,1.396200807,2.9780363,5.852228936,2.218990223,4.536033203,1.914189277,2.48216794,1.904934891,1.032683204,1.498371549,1.506782578
90,3.267055279,5.833916935,1.367929921,3.962171936,6.298324279,0.5625422583,1.041010594,5.095111614,2.558665957,4.591533306,4.297985715,1.302577419,2.707501518,0.6780359096,2.574650112,3.992862149
91,2.061875927,4.489288986,2.955278583,3.178324719,4.455511612,0.5961454616,1.735448301,3.902158851,2.822609487,3.347916841,3.144568386,1.460887045,4.2933015,0.8745122971,2.412168331,2.999834741
92,3.202350137,5.125763646,1.828716701,4.081709965,5.322188591,0.7402775738,1.508685426,5.942685011,1.913407149,2.611845506,2.991945815,1.407160469,4.425064524,0.7814952724,2.609575155,3.374831122
93,2.51239714,4.589740612,1.990532189,2.039037889,3.712824812,1.26113195,1.874834166,4.092177362,1.107764727,5.892854667,1.855376519,2.919836585,4.482217486,1.121742397,1.703819005,2.005429948
94,1.914159861,4.682093455,2.960948284,2.18984993,5.271453564,1.420491983,2.315680031,2.793361117,1.746443537,3.466705063,2.503654313,2.050746917,4.458953942,0.9625561047,2.765779878,2.501751757
95,2.098142722,5.841258058,1.96796814,2.635913623,2.696052674,0.8026826136,2.855146272,4.988563378,2.491046802,4.145169536,4.051650469,2.860145816,2.01435811,0.9740845418,2.532726445,1.805760734
96,2.36103636,6.849802886,1.918490824,4.354960385,3.907098146,1.286336287,2.762718854,2.432433862,2.760701977,5.440335118,2.284294179,2.672794518,4.279877356,0.819017173,2.983908293,3.24172817
97,2.297357808,4.88707917,1.085475591,1.694594328,4.42633638,1.145238146,2.230335296,4.412226431,1.584786143,5.129440895,2.00821931,1.429802155,2.615117732,0.5614045151,1.657721027,3.640008478
98,2.319100516,3.749611728,2.795357814,2.818569904,3.90046979,0.6139607891,1.351448897,5.975740814,1.192836478,5.306220882,4.211044277,2.619960989,2.354930183,0.580038685,2.17215161,2.293095451
99,3.645920755,4.337500651,1.275050013,3.800112572,3.271607137,1.483135361,2.276612833,4.798325877,1.390769421,5.973540069,3.003629986,2.398172322,4.091234544,0.9227678679,1.262860507,2.421905519
100,2.446267187,4.498308504,2.742833643,1.999997468,4.244127302,0.9759765286,2.223423836,2.65215909,2.934266079,3.48115258,3.749037163,1.107472672,2.087863267,1.106278955,2.077517708,4.156213526
101,3.336921388,4.677293976,1.945303966,4.302879428,2.562559352,0.6832408611,1.538830593,4.023625135,2.39819921,3.465379781,3.154742289,1.266912334,2.640458062,0.7331218829,2.874406722,2.994954926
102,2.079552178,6.908329804,1.469052014,3.136546153,5.485751556,0.9655711922,1.871584545,3.008666751,1.758027272,2.935957595,3.644237495,2.724924627,1.954665794,1.03931828,2.630881925,4.241569806
103,1.655781281,2.962641706,2.479392701,3.517632781,3.164780073,0.8984371206,2.422227173,4.185549417,2.791901456,4.862971012,2.437852884,2.568902773,1.692263987,1.449504582,1.989524972,2.933098091
104,4.380109843,6.249386614,1.608634636,3.274254025,4.604575148,0.629333209,2.432705363,4.389501312,1.85992586,4.496307464,2.26697518,2.047343431,3.501515591,1.017886129,1.482009942,2.423003634
105,2.588244215,3.857129932,1.404365552,3.815979411,3.401205132,1.015958323,2.733854938,5.616721368,1.337000717,5.740621481,2.325921218,2.174668907,3.852969962,0.7258877,2.420690509,2.015440571
106,2.406337973,5.570469831,1.833556523,3.453867955,6.728428162,0.6153603566,2.942519195,5.470514386,1.962377209,3.195771932,4.271496694,1.962408387,2.545795085,1.387301818,2.05451184,3.911911673
107,1.619967015,4.297736013,1.312198009,2.80807727,7.160682447,0.6641460878,1.88692734,4.644167467,1.448052488,3.83886402,2.90143852,1.70709281,2.934054267,0.58463371,2.044210399,2.25379591
108,2.599822691,5.650921246,1.765555974,1.804642327,7.324795577,1.073158237,1.559598884,2.011191459,2.899865266,4.379355484,4.290577506,2.836420041,2.779087481,0.832785919,2.630859221,1.846055099
109,3.4100116,6.062014174,2.776576167,2.158457164,7.217547259,0.5593642639,1.357744447,2.738346445,1.893507832,3.949371467,2.27939169,1.531384587,3.379159522,1.063934861,2.775871899,2.172566763
110,3.388063003,4.652788206,2.870867811,2.008715386,4.785930905,0.717405104,2.701391029,2.184098623,2.040219672,5.261154662,1.872483329,2.630354368,3.585227961,1.135256937,1.722564401,2.869370448
111,1.684608929,6.721390983,1.216035553,3.481747616,2.662661558,0.6813079641,1.592664666,2.99095759,2.537817543,4.95518917,1.538536256,2.802770117,2.322984627,1.336717544,1.364768917,1.537715673
112,2.068219331,5.557154443,1.827076634,1.558089061,4.068067874,1.010298725,2.184076177,3.540981055,2.478531654,3.303108061,2.769754838,2.215481852,2.259280224,0.5948180659,2.273932841,3.447985629
113,3.895353012,5.027610805,1.199767932,3.981693817,2.981741869,1.175936977,1.819185779,2.654825485,2.56774854,4.020484183,4.366487838,2.259701312,2.030716142,1.431502977,1.828608434,2.606593021
114,1.795349856,7.437878035,2.265665197,2.723623356,7.383201699,1.352295957,2.824796337,3.95660407,1.593049101,4.718205486,4.2380427,2.719181264,4.199003312,0.788616308,2.271733933,3.827118653
115,1.743551345,6.160799487,2.863331119,4.412651647,6.034930294,1.290904274,2.662365967,3.869887831,1.739950577,4.465401551,3.097862976,1.493049048,1.588426401,1.176308473,1.383288732,1.696153183
116,2.168773122,6.056609785,1.289024574,2.090754434,5.415433563,1.003885866,1.565735613,5.768953844,1.843735462,3.423888372,3.37095354,2.114594957,2.129441889,1.193898246,1.535747771,4.413598063
117,3.245019761,6.779491535,2.710219198,2.217233589,7.456762343,1.21491741,2.51535776,2.249588501,1.682598829,3.501055586,3.398712615,1.278337725,2.748823108,0.6472296263,1.589356346,3.564542504
118,4.064061846,4.099276137,1.93118826,4.145104848,5.869410864,0.5557198687,1.116491564,2.914561582,1.743241666,2.671466777,3.650932854,1.854214428,2.473396855,0.9796423492,2.434187171,3.262828925
119,4.14643194,7.005206153,1.054337716,1.799923328,2.669020004,0.9350038297,2.453393506,3.530861121,2.996508791,3.525598032,3.849789659,2.008905001,2.125414485,0.5746315819,2.523245503,3.117558516
120,2.100876971,6.754912089,1.806165164,3.816835281,3.286937705,1.128606732,2.703276591,4.644088843,1.363707225,3.172591122,2.21569597,1.587461639,4.141054862,1.015343653,2.31760306,4.323743679
121,2.292541503,4.581774574,1.200964224,2.732637702,2.857252377,1.448816876,2.90947749,4.651704447,1.900579652,4.980531009,3.332970186,1.643191783,1.73448179,0.5204454789,1.281796409,3.00210654
122,2.639572622,6.938122876,2.18297433,4.422054293,5.326949381,1.49966071,2.897677461,2.703025391,1.029660114,2.163611276,2.828098162,1.168314194,4.317115815,1.355902776,2.998443745,3.994301223
123,2.354500154,7.31797742,2.424141341,2.414237579,4.937399407,0.9710664437,1.289038112,3.299418816,1.504147587,2.616297538,4.139323356,1.504021717,3.682427693,1.092319454,2.233838781,2.890612322
124,1.902410528,6.096050198,1.061678572,3.650056649,3.091025196,0.8542611689,1.636847356,5.517157292,2.276100925,5.708581835,2.26727069,2.804043125,1.971664623,1.150255858,1.952414378,3.453760792
125,2.429520403,7.02373793,1.153739954,4.157948258,3.164356221,1.401547178,2.022192896,5.854200543,1.975661828,5.539318862,3.637399135,2.525961924,2.983727699,0.6588395141,1.253477625,2.664693504
126,1.93851171,7.175123894,1.120259231,1.615460937,5.340474709,1.304076378,1.575682497,3.733121887,1.064667038,4.856872422,4.474837026,1.037272526,3.953774301,1.098793892,2.682439398,3.700755025
127,1.81879552,6.715547722,1.912851311,1.932346061,7.35369475,1.251447134,1.922058192,4.046786627,2.474184678,4.693896547,2.741052775,2.433270351,2.073467011,1.053850884,2.29997991,3.123268479
128,3.59016404,3.890246187,2.75951317,3.762886207,6.415829844,1.467393553,1.521105477,4.648775181,1.358243444,2.013437307,1.968950215,1.787808827,2.607051263,0.5709237432,2.677737794,1.662199834
129,1.918957686,4.774374737,2.690299521,3.761475242,4.930848034,0.8603055061,1.340078964,2.402131031,2.280526566,3.386350048,1.566549859,1.264330021,3.171848503,1.362357028,2.778757195,1.626127068
130,3.018452152,4.158563723,2.164119814,3.381352912,6.587598623,0.5827509599,2.462418207,4.62806751,1.282833384,2.982127603,2.81875849,2.992388594,2.974221036,1.468166482,1.642484652,3.3992603
131,1.625124893,2.760229334,2.409840438,2.124638864,5.55880169,1.372653786,2.700993758,2.095199265,2.980853205,3.226415928,2.923568854,2.448275041,4.231665116,1.219614922,2.872055844,4.366982211
132,2.263175679,5.516865768,1.898598464,2.225409755,5.541610503,1.010503206,1.700032135,2.133058267,2.885693639,5.940789161,2.082115138,1.562323362,4.224573956,1.224873525,1.295711974,2.73151154
133,3.795662519,4.585073691,2.116708363,3.273558287,4.685227251,0.8140454392,1.746861467,2.559055658,2.355845094,3.412025815,3.794772652,2.245142781,2.558382021,0.5051517355,2.992952664,2.512398874
134,3.112186545,6.973477712,2.721375267,4.330118896,5.388759177,1.329233809,2.421252634,2.85282502,2.452833666,3.509540156,3.062401072,1.996134528,3.086013551,1.200455943,2.683898934,2.165459923
135,3.977249526,5.837560904,2.040796793,3.315886449,3.226116226,0.5536973753,1.760962,5.290291162,1.622562429,4.901713283,3.190703265,2.694105393,4.448412565,0.5242564883,2.850436192,2.401461745
136,2.887843526,4.274330743,2.206695535,2.439208363,4.21928588,0.6778763715,1.668670745,5.086948163,1.430997374,4.015354236,2.951947103,2.089426977,2.032495695,0.598362565,1.981942432,3.201987994
