"ID","Citation","Design and data","Key quantitative findings","Permitted use in NAZE","Important limitation","Role","Source"
"E11","Willing et al. Simulating the overload of medical processes due to system failures during a cyberattack. BMC Medical Informatics and Decision Making. 2025.","Hybrid discrete-event and agent-based model of emergency trauma processes and medical-device outages.","In its sample scenario, CT outage up to 30 minutes had limited modeled effect; a 120-minute outage increased process duration about 47%, and 230 minutes increased it up to 128%.","Provide an external structural check that operational effects are nonlinear with outage duration.","Proof-of-concept sample hospital; modeled results are not universal clinical thresholds.","Comparable simulation and structural validation","https://doi.org/10.1186/s12911-025-02988-8"
"E12","Arsalani et al. Impact of ransomware on emergency medical services: empirical estimation and risk assessment framework. Omega. 2026.","Empirical analysis of two Alabama hospital breaches plus an EMS simulation framework.","The two incidents had different effects on ambulance performance; surrounding hospital capacity helped explain the difference.","Inform a regional capacity extension and reinforce that one incident pattern is not universal.","Full parameter details require full-text review; two incidents limit generalization.","Comparable empirical simulation","https://doi.org/10.1016/j.omega.2026.103578"
"E13","Chiaradonna et al. Framework for cyber risk loss distribution of hospital infrastructure: Bond percolation on mixed random graphs approach. Risk Analysis. 2023.","Probabilistic graph-theoretical model of loss across attacks on a prototypical hospital network.","Derives mean and variance of aggregate loss under a mixed random-network model.","Provide a comparable structural model and alternative topology/loss framework.","Prototypical network and theoretical loss model do not empirically calibrate NAZE.","Comparable simulation","https://doi.org/10.1111/risa.14127"
"E14","Carramiñana et al. Enhancing healthcare infrastructure resilience through agent-based simulation methods. Computer Communications. 2025.","Agent-based model coupling healthcare infrastructure and IT dependencies.","Models cyberattack-driven IT degradation and downstream healthcare-service effects under parameterized severity and recovery.","Inform explicit interdependency modeling and multi-layer validation methods.","Sensitivity to configured attack severity is not external validation.","Comparable simulation","https://doi.org/10.1016/j.comcom.2025.108070"
"E15","Wunderlich et al. Resilience against IT attacks in hospitals: results from an exercise in a German university hospital. 2023.","Three-day hospital tabletop exercise following eight months of process mapping and fallback-plan development.","Only 34% felt preparedness was sufficient; IT-specific plans increased from 1.7% of units before preparation to 86.7%; paper/offline-capable units appeared more resilient.","Inform a 72-hour scenario, workaround mechanisms, and expert-review questions.","One university hospital and self-reported assessments; not a source of control efficacy probabilities.","Scenario design and face validity","https://doi.org/10.1007/s00101-023-01331-y"
"E16","Angler et al. Assessing the impact of technology partners on the level of cyberattack damage in hospitals. Health Policy and Technology. 2025.","Discrete-event simulation of downtime cost, length of stay, staff utilization, and lost arrivals in a general-hospital ED.","Modeled 21-day scenarios and reported cost-benefit estimates for a technology-partnership intervention.","Inform economic-analysis structure and operational outcomes, not NAZE cost values.","Scenario-specific modeled costs and intervention assumptions are not transferable as procurement estimates.","Comparable simulation","https://doi.org/10.1016/j.hlpt.2024.100955"
"E17","Walsh, Borycki, and Kushniruk. Strategies in Electronic Medical Record Downtime Planning: A Scoping Study. 2019.","Scoping review of four included downtime-planning articles.","Identified four recurring themes: communication, procedure review/revision, system availability, and staff preparation.","Inform control taxonomy and missing human/organizational mechanisms.","Only four included articles and no quantitative efficacy estimates.","Context and model scope","https://pubmed.ncbi.nlm.nih.gov/30741238/"
"M01","Monks et al. Strengthening the reporting of empirical simulation studies: Introducing the STRESS guidelines. Journal of Simulation. 2018.","Reporting guideline for discrete-event, system-dynamics, and agent-based simulations.","Provides structured checklists for conceptualization, implementation, experimentation, data, and results reporting.","Use as the reporting and reproducibility checklist.","Complete reporting does not itself establish validity.","Method standard","https://doi.org/10.1080/17477778.2018.1442155"
"G01","CISA and partners. #StopRansomware Guide. 2023.","Authoritative operational guidance.","Recommends timely patching, least privilege, segmentation, offline/encrypted/tested backups, incident response planning, logging, and coordinated isolation.","Define portfolio components and explicit failure modes.","Guidance does not quantify causal effectiveness.","Control taxonomy","https://www.cisa.gov/stopransomware/ransomware-guide"
"G02","HHS. Healthcare and Public Health Cybersecurity Performance Goals.","Healthcare-specific authoritative guidance.","Prioritizes high-impact safeguards for healthcare organizations.","Define feasible healthcare control portfolios and terminology.","Voluntary goals do not provide transition probabilities or cost estimates.","Control taxonomy","https://hhscyber.hhs.gov/cybersecurity-performance-goals.html"
"G03","NIST IR 8374 Revision 1. Ransomware Risk Management: A CSF 2.0 Community Profile. 2026.","Authoritative ransomware risk-management profile.","Organizes preparation, protection, detection, response, and recovery practices, including segmentation and tested recovery.","Trace portfolio components to current risk-management practice.","Framework guidance is not empirical effectiveness evidence.","Control taxonomy","https://doi.org/10.6028/NIST.IR.8374r1"
